ff_max,ffm,tmax,tmin,tm,umax,umin,td_m,ewsm,rrr24
5,2.4,16.4,-0.1,8.1,100,41,2.78,12.9556,0.0
7,4.4,13.1,0.2,6.7,77,36,-1.08,12.0565,0.0
2,1.6,13.2,-4.6,4.3,85,22,-7.5,10.309,
2,0.4,14.0,-6.2,3.9,70,17,-8.96,11.1029,0.0
2,0.8,15.0,-5.9,4.6,82,22,-7.34,11.1887,0.0
4,1.6,15.4,-5.5,4.9,75,22,-5.38,11.3158,0.0
5,2.2,14.8,-3.9,5.4,95,29,-2.52,11.6301,0.5
9,5.8,11.0,3.7,7.3,97,31,-0.86,10.6342,
7,6.0,9.3,1.2,5.3,74,44,-2.46,9.18571,0.1
4,2.6,5.0,-2.3,1.4,96,72,-1.08,6.57716,
7,3.6,7.2,-3.0,2.1,89,39,-5.94,7.54349,0.1
6,3.6,11.3,-5.7,2.8,85,33,-5.16,9.07626,0.0
5,3.4,10.2,-2.4,3.9,90,36,-4.08,9.04512,
2,0.4,12.7,-4.5,4.1,82,33,-3.76,10.1336,0.0
8,3.8,5.5,4.2,4.8,97,87,3.5,8.52782,24.0
3,1.0,10.4,3.8,7.1,96,67,3.16,9.05879,19.5
4,2.6,9.1,-3.0,3.1,79,39,-4.12,8.74423,
6,2.4,10.9,-5.1,2.9,93,22,-5.52,9.22367,0.0
5,2.4,9.9,1.0,5.4,83,42,-1.82,8.14355,0.1
2,0.8,9.1,-0.3,4.4,87,32,-3.38,8.29866,0.4
4,1.2,8.1,-3.5,2.3,87,27,-7.12,7.58653,0.0
2,0.4,7.4,-6.3,0.5,85,28,-9.22,6.71117,0.0
2,0.8,13.7,-4.9,4.4,89,35,-4.2,9.05351,
5,2.4,11.3,-2.9,4.2,81,39,-1.92,9.16768,0.0
6,2.4,11.4,-0.6,5.4,96,31,-2.6,9.72209,2.0
5,1.0,13.1,-2.9,5.1,86,21,-4.68,9.07427,
7,2.6,8.1,-6.0,1.1,83,21,-9.6,7.41675,
5,3.0,3.5,-2.3,0.6,95,58,-3.88,6.25934,
2,0.4,3.2,-5.6,-1.2,93,54,-4.76,6.14192,0.0
0,0.0,9.7,-3.0,3.3,91,55,-1.02,7.94103,0.0
2,0.4,10.8,-4.5,3.2,99,51,-1.4,7.7747,0.0
2,0.8,11.3,-5.4,3.0,95,36,-3.62,8.20872,
2,1.2,9.7,-1.9,3.9,91,44,-2.12,9.06112,0.0
4,1.6,9.4,-1.3,4.0,93,42,-1.72,8.6614,
4,1.8,8.3,-3.5,2.4,86,37,-4.0,7.98125,0.0
5,4.0,7.4,-3.7,1.9,78,42,-4.58,7.7964,
4,1.4,9.8,-7.2,1.3,91,32,-6.28,7.75086,0.0
8,6.6,13.2,3.3,8.3,65,24,-5.9,10.6743,0.0
5,4.0,3.6,-0.4,1.6,100,69,-0.24,6.81055,12.0
3,0.6,1.8,-3.7,-1.0,92,48,-8.34,5.34824,
1,0.2,0.4,-16.4,-8.0,87,66,-11.32,3.60557,0.0
0,0.0,4.3,-19.7,-7.7,83,47,-11.0,4.91474,0.0
3,1.4,5.3,0.4,2.9,73,66,-2.02,7.44194,0.0
6,2.8,-3.2,-9.4,-6.3,76,55,-12.5,3.69789,0.0
2,0.4,3.1,-14.7,-5.8,81,55,-11.06,4.51768,
0,0.0,2.7,-12.9,-5.1,88,59,-8.8,4.6628,0.0
0,0.0,7.1,-7.1,0.0,91,45,-5.82,6.38151,0.0
2,0.4,4.8,-3.7,0.6,97,83,0.0,6.76377,1.0
2,0.4,5.1,0.0,2.5,99,77,0.52,7.29898,0.1
2,0.4,5.3,-0.2,2.6,100,94,0.86,6.66733,2.0
3,1.2,8.0,-1.6,3.2,88,88,1.1,7.6635,0.3
6,5.4,6.5,1.2,3.8,66,54,-3.2,8.21345,0.3
6,3.4,-0.3,-11.7,-6.0,79,55,-11.06,4.23285,
5,3.8,0.4,-11.7,-5.7,82,59,-10.24,4.31718,
